danceability,energy,key note,loudness (dB),speechiness,acousticness,instrumentalness,liveness,valence,tempo (BPM),duration (s)
82.5,65.2,1,-3.183,8.02,58.1,0,9.31,93.1,95.977,234
78.5,61.7,1,-5.871,5.22,0.902,0.246,35.1,38.2,103.981,174
73.6,54.1,8,-5.597,2.97,41.5,0,11,66.2,94.962,246
58,53.1,5,-6.631,7.76,12.8,0.0127,14.3,14.1,159.786,218
78.1,44.5,2,-6.061,2.95,47.4,0,18.4,59.1,78.998,282
72.3,80.9,7,-3.081,6.25,0.346,0.123,56.5,27.4,98.007,177
75.8,44.8,7,-9.441,10.3,3.09,0.00867,55.8,37.3,77.176,199
65.3,81.6,2,-4.353,16.7,22.8,0,9.67,81.6,178.086,229
60.7,37.6,4,-9.954,45.3,85.6,0,28.5,54.5,102.541,234
60.5,76.8,0,-3.724,4.76,8.65,0,30.8,41.4,100.209,201
76.8,51.7,7,-4.323,3.12,18.6,0.0038,10.4,41.8,104.992,217
53.4,86.8,11,-5.057,20.6,19,0.318,14.8,40.6,159.757,209
67.8,58.8,7,-7.015,27.6,14.1,0.000635,13.7,48.6,186.005,230
66.3,71.3,7,-6.647,11.2,3.53,0.000768,8.43,69,101.965,198
76.2,70,9,-6.021,6.94,0.261,0.00156,15.3,60.8,116.073,209
65.2,71.3,8,-5.311,3.68,7.71,0.00102,14.4,15.2,100.023,206
61.4,37.9,4,-10.48,4.76,60.7,0.0464,9.86,20.1,107.989,259
35.8,55.7,10,-7.398,5.9,69.5,0,9.02,49.4,85.043,211
59.9,44.8,8,-6.312,2.32,16.3,0,10.6,16.8,95.05,263
90.8,62.1,1,-6.638,10.2,0.0282,0.00539,9.58,42.1,150.011,177
60.7,64.9,11,-6.695,3.62,3.06,0.00246,17.4,50.5,102.996,248
62.8,69.8,6,-5.608,10.5,4.72,0.143,9.07,73.2,89.976,212
60.2,79.7,6,-5.084,5.34,5.5,0,18.7,49.2,92.928,185
83.7,57.1,5,-8.273,9.22,61,0.0898,8.49,80.1,125.034,206
73.2,75,11,-6.366,23.1,0.264,0,10.9,40.1,155.096,183
73.4,63.7,4,-5.677,14.1,4.62,0.00229,6.02,64.8,169.977,202
85.6,60.9,0,-7.223,8.24,0.801,0.00815,3.44,92.8,114.988,270
58.9,65.1,6,-5.097,3.06,2.91,0.00032,11.1,16.6,90.011,213
65.9,80.2,2,-4.79,14.8,20.8,0,12.3,86.3,177.936,228
72.6,76.9,6,-5.043,12.3,2.93,1.01,10.4,73.3,97.985,234
60.4,82.6,0,-4.804,4.34,0.782,15,15.4,24.1,167.985,187
76.5,47.3,10,-5.829,5.14,28.7,0,39.1,34,119.992,237
56.6,66.4,4,-5.303,4.64,63.4,0,11.6,43.7,128.945,242
77.2,78,10,-4.288,10.8,5.12,0,11.9,71.9,124.988,204
78,68,4,-6.081,3.05,14.1,0.0012,13.8,59.4,118.026,181
63,80.4,6,-4.183,3.63,21.5,0,25.3,49.2,123.146,220
